id,key,value,type
41471042,highway,turning_circle,Regular
41473366,highway,traffic_signals,Regular
41475463,highway,turning_circle,Regular
41476023,highway,motorway_junction,Regular
41476023,ref,181,Regular
41476783,highway,traffic_signals,Regular
41479485,highway,turning_circle,Regular
41479652,highway,traffic_signals,Regular
41479685,highway,motorway_junction,Regular
41479685,ref,152,Regular
41479686,highway,traffic_signals,Regular
41480872,highway,turning_circle,Regular
41483020,bicycle,yes,Regular
41483020,crossing,traffic_signals,Regular
41483020,foot,yes,Regular
41483020,highway,crossing,Regular
41483020,horse,yes,Regular
41483964,highway,traffic_signals,Regular
41489917,highway,motorway_junction,Regular
41489917,ref,153,Regular
41490461,note,Way split for bike routes.,Regular
41492519,highway,traffic_signals,Regular
41493057,highway,motorway_junction,Regular
41493057,ref,1B,Regular
41493543,highway,turning_circle,Regular
41493545,highway,turning_circle,Regular
41493597,highway,turning_circle,Regular
41493604,highway,turning_circle,Regular
41493616,highway,turning_circle,Regular
41493623,highway,traffic_signals,Regular
41493626,highway,turning_circle,Regular
41493638,highway,turning_circle,Regular
41493862,highway,turning_circle,Regular
41494587,highway,turning_circle,Regular
41494603,highway,traffic_signals,Regular
41494635,highway,turning_circle,Regular
41494653,highway,turning_circle,Regular
41494702,highway,turning_circle,Regular
41494708,highway,turning_circle,Regular
41494735,highway,turning_circle,Regular
41494751,highway,turning_circle,Regular
41495358,highway,turning_circle,Regular
41495407,highway,traffic_signals,Regular
41495407,traffic_signals,signal,Regular
41495440,highway,turning_circle,Regular
41495450,highway,turning_circle,Regular
41495455,highway,turning_circle,Regular
41495469,traffic_calming,hump,Regular
41495500,traffic_calming,hump,Regular
41495554,traffic_calming,hump,Regular
41495562,traffic_calming,hump,Regular
41495638,highway,turning_circle,Regular
41495643,highway,turning_circle,Regular
41495936,highway,turning_circle,Regular
41495937,highway,turning_circle,Regular
41495940,highway,turning_circle,Regular
41495945,highway,turning_circle,Regular
41495961,highway,traffic_signals,Regular
41495988,highway,turning_circle,Regular
41495993,highway,turning_circle,Regular
41496007,highway,turning_circle,Regular
41498037,highway,turning_circle,Regular
41498703,note,Way split for bus routes,Regular
41498723,highway,turning_circle,Regular
41499009,highway,turning_circle,Regular
41499014,highway,turning_circle,Regular
41499104,highway,turning_circle,Regular
41499118,highway,turning_circle,Regular
41499135,highway,turning_circle,Regular
41499150,highway,turning_circle,Regular
41499162,highway,turning_circle,Regular
41499580,highway,turning_circle,Regular
41499594,highway,turning_circle,Regular
41500210,highway,turning_circle,Regular
41500216,highway,turning_circle,Regular
41500221,highway,turning_circle,Regular
41500224,highway,turning_circle,Regular
41500229,highway,turning_circle,Regular
41500274,highway,turning_circle,Regular
41500325,highway,turning_circle,Regular
41500382,highway,traffic_signals,Regular
41500425,highway,traffic_signals,Regular
41500459,highway,turning_circle,Regular
41501045,highway,turning_circle,Regular
41501154,highway,turning_circle,Regular
41501459,highway,traffic_signals,Regular
41501472,highway,traffic_signals,Regular
41501498,highway,traffic_signals,Regular
41501516,highway,traffic_signals,Regular
41501559,highway,traffic_signals,Regular
41501573,highway,traffic_signals,Regular
41501587,highway,traffic_signals,Regular
41501594,highway,traffic_signals,Regular
41501904,highway,turning_circle,Regular
41501916,highway,turning_circle,Regular
41501921,highway,turning_circle,Regular
41501949,highway,turning_circle,Regular
41501969,highway,turning_circle,Regular
41501992,highway,turning_circle,Regular
41501995,highway,turning_circle,Regular
41502004,highway,turning_circle,Regular
41502164,highway,turning_circle,Regular
41502194,highway,turning_circle,Regular
41502230,highway,turning_circle,Regular
41502265,highway,turning_circle,Regular
41502565,highway,turning_circle,Regular
41502577,highway,turning_circle,Regular
41502584,highway,turning_circle,Regular
41502643,note,Way split for bike routes.,Regular
41502684,highway,stop,Regular
41502697,highway,turning_circle,Regular
41502715,highway,turning_circle,Regular
41502716,highway,turning_circle,Regular
41502720,highway,turning_circle,Regular
41502738,highway,turning_circle,Regular
41502745,highway,turning_circle,Regular
41502753,highway,turning_circle,Regular
41503262,highway,turning_circle,Regular
41503269,highway,turning_circle,Regular
41503375,highway,turning_circle,Regular
41503381,highway,turning_circle,Regular
41503388,highway,turning_circle,Regular
41503550,highway,turning_circle,Regular
41503849,highway,turning_circle,Regular
41503921,highway,turning_circle,Regular
41504517,highway,turning_circle,Regular
41505501,highway,turning_circle,Regular
41505505,highway,turning_circle,Regular
41506544,highway,turning_circle,Regular
41506607,highway,turning_circle,Regular
41506615,highway,turning_circle,Regular
41506646,highway,turning_circle,Regular
41506890,highway,turning_circle,Regular
41507044,highway,turning_circle,Regular
41507045,highway,turning_circle,Regular
