id,user,uid,version,changeset,timestamp
5568628,TheDutchMan13,1330847,2,43575755,2016-11-12T06:49:22Z
5568851,petrar_telenav,4940486,3,51963739,2017-09-12T07:54:24Z
5568855,petrar_telenav,4940486,3,51963739,2017-09-12T07:54:24Z
5568939,piligab,3877019,6,41418058,2016-08-12T20:17:46Z
5569382,TheDutchMan13,1330847,5,36057393,2015-12-20T02:24:04Z
5569648,Dr Kludge,292665,3,13746927,2012-11-04T13:40:56Z
5569712,TheDutchMan13,1330847,2,43575755,2016-11-12T06:49:22Z
5569715,TheDutchMan13,1330847,2,43091394,2016-10-22T23:52:16Z
5569720,piligab,3877019,13,41414528,2016-08-12T17:10:30Z
5570317,calfarome,2511706,11,41469698,2016-08-15T15:18:41Z
5570454,inah_telenav,5188736,13,51737600,2017-09-05T06:22:17Z
5570743,TheDutchMan13,1330847,2,43091394,2016-10-22T23:52:16Z
5570744,TheDutchMan13,1330847,2,43091394,2016-10-22T23:52:16Z
5570928,TheDutchMan13,1330847,4,31171998,2015-05-15T12:42:22Z
5571091,TheDutchMan13,1330847,4,27644912,2014-12-23T07:25:49Z
5571253,Dr Kludge,292665,2,9877872,2011-11-19T21:29:08Z
5571472,karitotp,2748195,3,33492622,2015-08-21T20:07:25Z
5571476,TheDutchMan13,1330847,2,27150518,2014-12-01T10:56:18Z
5571866,marianp_telenav,5351387,15,52386108,2017-09-26T14:17:54Z
5572388,marianp_telenav,5351387,16,52382705,2017-09-26T11:52:01Z
5572441,DaveHansenTiger,7168,1,326660,2007-09-04T22:43:32Z
5572442,adenium,4111,3,6297321,2010-11-05T18:58:10Z
5572444,DaveHansenTiger,7168,1,326660,2007-09-04T22:43:33Z
5572553,jfuredy,32890,3,1077904,2009-05-04T19:13:16Z
5572628,RichRico,2219338,6,32292600,2015-06-29T19:27:23Z
5572767,marianp_telenav,5351387,11,52375696,2017-09-26T07:37:21Z
5573022,marianp_telenav,5351387,11,52386108,2017-09-26T14:17:54Z
5573168,Dr Kludge,292665,3,14318576,2012-12-18T13:40:40Z
5573290,Dr Kludge,292665,2,9879422,2011-11-20T01:13:08Z
5573470,Dr Kludge,292665,3,40971848,2016-07-23T13:41:49Z
5573488,Chris Bell in California,194231,24,12518031,2012-07-28T00:10:38Z
5573640,Dr Kludge,292665,4,14318576,2012-12-18T13:40:41Z
5573641,Dr Kludge,292665,5,13746927,2012-11-04T13:40:59Z
5573645,Dr Kludge,292665,3,9877872,2011-11-19T21:29:09Z
5573899,inah_telenav,5188736,4,51845510,2017-09-08T13:27:16Z
5574105,jfuredy,32890,3,2966148,2009-10-27T16:01:36Z
5574108,inah_telenav,5188736,7,51812856,2017-09-07T13:38:32Z
5574181,TheDutchMan13,1330847,7,49088626,2017-05-30T00:54:38Z
5574186,horndude77,129271,2,8798482,2011-07-22T15:15:38Z
5574337,adenium,4111,6,1375112,2009-06-01T04:36:40Z
5574354,Dr Kludge,292665,2,34116401,2015-09-19T07:55:52Z
5574355,Dr Kludge,292665,2,34116401,2015-09-19T07:55:53Z
5574369,TheDutchMan13,1330847,2,38995824,2016-04-30T09:28:33Z
5574470,kookiemonster,709614,3,12052552,2012-06-29T02:41:03Z
